pos	ac	het	n
11254	17	15	200
11265	27	23	200
11302	4	4	200
11579	200	0	200
11587	7	7	200
11772	200	0	200
11844	28	22	200
11849	200	0	200
11905	112	52	200
11911	1	1	200
11979	1	1	200
12001	1	1	200
12006	200	0	200
12124	58	42	200
12441	200	0	200
12477	87	55	200
12483	4	4	200
12518	3	3	200
12558	18	14	200
12690	12	10	200
12697	200	0	200
12786	57	43	200
12812	4	4	200
13241	1	1	200
13350	200	0	200
13636	3	3	200
13646	4	4	200
13766	188	12	200
13782	12	12	200
14181	31	27	200
14194	30	26	200
14258	57	43	200
14277	31	27	200
14330	113	55	200
14381	3	3	200
14460	31	27	200
14561	31	27	200
14638	59	41	200
14712	5	5	200
14763	57	43	200
14859	17	15	200
14998	5	5	200
15073	1	1	200
15154	114	54	200
15226	7	7	200
15265	16	14	200
15304	200	0	200
15321	6	6	200
15344	200	0	200
15448	29	25	200
15690	17	15	200
15899	200	0	200
15964	1	1	200
16031	57	43	200
16256	4	4	200
16574	1	1	200
16745	88	56	200
16805	28	24	200
16810	7	7	200
16887	1	1	200
16993	56	42	200
17017	11	11	200
17062	34	30	200
17379	94	58	200
17518	94	58	200
17565	95	59	200
17596	105	59	200
17600	4	4	200
17779	169	27	200
17883	17	15	200
17996	3	3	200
18398	1	1	200
18862	200	0	200
18879	200	0	200
18967	3	3	200
19029	17	15	200
19074	27	21	200
19085	4	4	200
19151	1	1	200
19560	4	4	200
19636	1	1	200
19815	15	15	200
20185	3	3	200
20285	200	0	200
20329	95	59	200
20341	200	0	200
20381	200	0	200
20384	200	0	200
20454	1	1	200
20581	28	22	200
20603	200	0	200
20676	200	0	200
20964	183	15	200
20972	34	30	200
20981	29	25	200
20997	183	15	200
21496	95	59	200
21750	27	23	200
21756	19	15	200
21876	112	56	200
21983	1	1	200
22109	59	41	200
22260	111	55	200
22387	6	6	200
22403	143	43	200
22412	56	42	200
22417	57	43	200
22448	57	41	200
22473	145	41	200
22481	142	42	200
22518	143	41	200
22547	57	41	200
22578	143	43	200
22612	2	2	200
22665	27	23	200
22709	2	2	200
22782	4	4	200
22823	1	1	200
22883	200	0	200
22892	60	40	200
22934	1	1	200
22935	1	1	200
22945	199	1	200
22948	9	9	200
22968	199	1	200
23060	1	1	200
23110	1	1	200
23212	27	23	200
23283	27	23	200
23351	30	26	200
23670	5	5	200
23809	94	58	200
23908	4	4	200
24122	112	56	200
24254	1	1	200
24427	31	27	200
24675	5	5	200
24746	6	6	200
24792	17	15	200
24831	200	0	200
24988	110	54	200
25084	17	15	200
25703	95	59	200
25941	200	0	200
25959	200	0	200
26028	197	3	200
26075	197	3	200
26099	1	1	200
26102	4	4	200
26158	1	1	200
26376	4	4	200
26392	17	15	200
26489	3	3	200
26654	1	1	200
26703	200	0	200
26977	200	0	200
27087	4	4	200
27098	200	0	200
27136	200	0	200
27182	1	1	200
27294	12	10	200
27371	27	23	200
27472	31	27	200
27661	1	1	200
27678	1	1	200
28094	95	59	200
28377	56	42	200
28465	200	0	200
28482	199	1	200
28548	1	1	200
28598	55	41	200
28626	95	59	200
28660	17	15	200
28661	17	15	200
28726	184	14	200
28730	183	15	200
28814	19	15	200
28844	184	14	200
28935	18	14	200
29151	1	1	200
29221	17	15	200
29339	1	1	200
29352	196	4	200
29391	30	28	200
29595	10	10	200
29721	1	1	200
29966	59	39	200
30436	5	5	200
30510	200	0	200
30513	200	0	200
30593	200	0	200
30736	31	27	200
30861	7	7	200
30917	196	4	200
30941	4	4	200
30957	15	15	200
31240	16	14	200
31253	112	54	200
31263	4	4	200
31336	200	0	200
31636	10	10	200
32038	87	55	200
32362	1	1	200
32377	199	1	200
32385	3	3	200
32437	55	43	200
32533	1	1	200
32714	2	2	200
32772	88	56	200
32790	17	15	200
32868	27	23	200
33019	57	41	200
33181	104	58	200
33185	105	59	200
33313	200	0	200
33385	4	4	200
33533	88	56	200
33647	113	55	200
33761	5	3	200
33794	7	7	200
34025	31	27	200
34070	31	27	200
34407	200	0	200
34424	200	0	200
34577	5	5	200
34616	30	28	200
34748	3	3	200
35009	12	10	200
35234	1	1	200
35321	197	3	200
35462	6	6	200
35512	200	0	200
35588	200	0	200
35643	7	7	200
35777	200	0	200
36147	4	4	200
36592	57	43	200
36600	2	2	200
36652	112	56	200
36710	9	9	200
36717	198	2	200
36740	2	2	200
36808	31	27	200
36856	200	0	200
37057	58	42	200
37220	1	1	200
37256	6	6	200
37345	2	2	200
37363	200	0	200
37431	200	0	200
37828	5	5	200
37911	2	2	200
37971	1	1	200
38261	30	26	200
38449	3	3	200
38454	31	27	200
38490	97	57	200
38492	57	43	200
38503	4	4	200
38898	114	54	200
38988	8	8	200
38990	9	9	200
39093	10	10	200
39189	95	57	200
39227	2	2	200
39264	56	40	200
39280	6	6	200
39285	200	0	200
39375	27	23	200
39403	5	5	200
39498	3	3	200
39838	17	15	200
40142	16	14	200
40146	2	2	200
40302	113	55	200
40308	1	1	200
40542	54	40	200
40548	30	24	200
40699	111	55	200
41187	200	0	200
41585	96	58	200
41670	7	7	200
41734	200	0	200
41900	27	21	200
41992	4	4	200
42249	34	30	200
42274	57	43	200
42317	3	3	200
42343	3	3	200
42391	114	54	200
42430	182	14	200
42731	1	1	200
42883	12	10	200
43223	5	5	200
43897	6	6	200
44171	196	4	200
44176	196	4	200
44302	4	4	200
44372	4	4	200
44401	27	23	200
44463	8	8	200
44511	4	4	200
44558	4	4	200
44585	4	4	200
44898	95	59	200
44940	144	42	200
44975	142	42	200
45137	18	14	200
45241	34	30	200
45249	1	1	200
45353	29	25	200
45371	30	28	200
45581	7	7	200
45816	200	0	200
45912	4	4	200
46145	31	27	200
46181	4	4	200
46207	4	4	200
46326	30	26	200
46351	3	3	200
46368	3	3	200
46407	95	59	200
46429	200	0	200
46448	35	29	200
46477	18	14	200
46559	56	42	200
46811	57	41	200
46837	112	54	200
46844	17	15	200
46918	27	23	200
47039	31	27	200
47086	17	15	200
47090	171	25	200
47092	17	15	200
47268	97	57	200
47613	8	8	200
47897	56	42	200
47933	3	3	200
9	59	59	150
39	1	1	198
145	17	17	148
222	100	98	200
357	8	8	188
379	52	52	138
413	7	7	168
414	4	4	184
282	12	12	200
285	194	6	200
295	6	6	200
388	160	28	200
410	1	1	200
494	4	4	200
507	38	28	200
533	200	0	200
542	200	0	200
577	29	29	200
581	200	0	200
587	40	28	200
591	3	3	200
603	40	28	200
609	1	1	200
830	10	8	200
879	39	29	200
1005	3	3	200
1035	1	1	200
1039	199	1	200
1150	29	29	200
1172	29	29	200
1179	30	30	200
1190	199	1	200
1271	29	29	200
1290	1	1	200
1291	171	27	200
1383	38	28	200
1687	29	29	200
1945	3	3	200
2061	10	8	200
2083	191	7	200
2096	11	7	200
2126	9	7	200
2143	190	8	200
2152	10	8	200
2285	2	2	200
2393	39	29	200
2534	23	19	200
3013	200	0	200
3131	188	12	200
3182	188	12	200
3192	12	12	200
3235	188	12	200
3265	39	29	200
3425	10	8	200
3523	1	1	200
3533	7	7	200
3675	200	0	200
3684	200	0	200
3686	162	28	200
3765	200	0	200
3838	41	27	200
3840	39	29	200
3877	1	1	200
3904	39	29	200
3907	39	29	200
3930	161	29	200
3932	40	28	200
3965	135	47	200
3979	66	46	200
4063	1	1	200
4210	2	2	200
4233	193	7	200
4423	40	28	200
4788	2	2	200
4823	4	4	200
4863	6	6	200
5029	2	2	200
5308	200	0	200
5389	108	50	200
5419	200	0	200
5429	200	0	200
5438	1	1	200
5507	1	1	200
194	13	13	178
325	46	46	140
548	1	1	194
609	17	15	130
628	1	1	192
164	10	8	200
221	117	51	200
384	8	8	200
522	118	50	200
18	9	9	166
57	9	9	166
129	82	82	178
151	5	5	174
265	1	1	196
302	42	42	144
305	100	98	200
343	2	2	190
369	21	21	172
775	4	4	196
1018	1	1	200
1085	8	8	158
1088	1	1	184
1382	12	12	154
1492	15	15	152
1555	1	1	196
1669	1	1	200
1751	9	9	172
1869	1	1	186
1937	2	2	200
2034	98	92	196
2043	98	98	196
8	39	33	200
9	7	7	200
75	194	6	200
104	194	6	200
459	200	0	200
479	200	0	200
677	23	21	200
782	24	20	200
1329	200	0	200
1368	19	17	200
1372	153	39	200
1430	18	14	200
1620	4	4	200
66	2	2	196
158	10	10	164
182	2	2	190
192	32	32	154
197	51	49	146
81	191	9	200
169	1	1	200
274	126	56	200
348	10	10	200
548	2	2	200
666	25	25	200
699	42	28	200
931	11	11	200
940	12	10	200
961	1	1	200
1174	127	57	200
1279	125	55	200
1335	11	11	200
1434	73	57	200
1547	2	2	200
1553	72	54	200
1657	1	1	200
1729	1	1	200
1788	11	11	200
1799	38	34	200
1865	11	9	200
1889	198	2	200
1912	32	26	200
1923	2	2	200
1979	198	2	200
1990	71	57	200
1993	2	2	200
2011	200	0	200
2080	1	1	200
2121	30	24	200
2155	8	8	200
2426	2	2	200
2508	10	10	200
2511	9	9	200
2516	41	29	200
2598	1	1	200
2607	2	2	200
2642	196	4	200
2657	53	33	200
2765	4	4	200
2800	11	11	200
2811	11	11	200
2811	2	2	200
2853	11	11	200
2894	11	11	200
2905	73	57	200
2910	9	9	200
2960	11	11	200
2985	8	6	200
3004	193	7	200
3011	193	7	200
3013	8	8	200
3022	2	2	200
3052	10	10	200
3134	73	57	200
3164	52	34	200
3173	72	56	200
3205	17	17	200
3290	17	17	200
3460	128	56	200
3471	73	55	200
3673	10	10	200
3719	198	2	200
3728	2	2	200
3969	1	1	200
3980	50	36	200
3992	1	1	200
4021	1	1	200
4099	1	1	200
4132	50	36	200
4134	11	11	200
4345	10	10	200
4444	10	10	200
4480	1	1	200
4576	1	1	200
4593	199	1	200
4721	5	5	200
4907	12	10	200
4955	200	0	200
5248	115	47	200
5264	10	10	200
5321	11	11	200
5331	189	11	200
5354	189	11	200
5363	11	11	200
5489	10	10	200
5498	1	1	200
5617	3	3	200
5647	1	1	200
5918	6	6	200
5982	11	11	200
6112	175	25	200
6124	60	48	200
6257	1	1	200
6261	1	1	200
6277	199	1	200
6278	199	1	200
6298	9	9	200
6312	1	1	200
6468	129	55	200
6475	72	56	200
6543	9	9	200
6585	9	9	200
6644	2	2	200
6699	11	11	200
6725	17	17	200
6727	200	0	200
6933	127	55	200
7023	68	54	200
7029	193	7	200
7062	71	55	200
7107	2	2	200
7146	11	11	200
7208	37	33	200
7321	62	46	200
7426	1	1	200
7446	136	44	200
7561	15	15	200
7721	2	2	200
7829	126	54	200
8079	200	0	200
8104	51	35	200
8153	127	57	200
8160	1	1	200
8279	1	1	200
8309	2	2	200
8341	11	11	200
8348	5	5	200
8389	9	9	200
8497	50	36	200
8657	73	57	200
8675	74	56	200
8787	200	0	200
8859	200	0	200
8870	200	0	200
8896	1	1	200
8973	200	0	200
8987	200	0	200
8994	2	2	200
9049	200	0	200
9058	200	0	200
9065	200	0	200
9221	9	9	200
9242	200	0	200
9273	11	11	200
9427	11	11	200
9498	75	55	200
9650	61	49	200
9764	23	21	200
10284	75	55	200
10365	11	11	200
10489	187	11	200
10544	12	12	200
10582	12	12	200
11195	148	36	200
11229	50	36	200
11241	50	36	200
11272	150	36	200
11342	4	4	200
11651	137	47	200
11665	139	49	200
11758	1	1	200
11779	22	20	200
11846	10	10	200
11846	61	47	200
11880	137	47	200
11979	73	57	200
12013	62	48	200
12015	61	47	200
12025	65	43	200
12087	149	37	200
12093	1	1	200
12206	189	11	200
12213	11	11	200
12217	189	11	200
12329	8	8	200
12430	11	11	200
12435	9	9	200
12451	15	13	200
12458	191	9	200
12637	2	2	200
12765	65	45	200
12957	73	57	200
12974	127	57	200
13001	11	11	200
13038	6	6	200
13134	74	56	200
13512	10	8	200
13865	38	34	200
14058	1	1	200
14154	6	6	200
14187	1	1	200
14384	8	8	200
14562	73	57	200
14604	9	9	200
14705	189	11	200
14709	189	11	200
14725	189	11	200
14732	49	35	200
14746	11	11	200
14956	127	55	200
14971	8	8	200
14993	18	16	200
15234	78	52	200
15484	72	54	200
15555	49	35	200
15667	200	0	200
15685	4	4	200
15693	6	6	200
15697	2	0	200
15745	15	15	200
15933	65	45	200
16082	11	11	200
16199	199	1	200
16261	64	46	200
16289	199	1	200
16302	199	1	200
16305	199	1	200
16314	199	1	200
16334	199	1	200
16415	194	6	200
16442	194	6	200
16465	6	6	200
16474	6	6	200
16499	30	24	200
16511	12	12	200
16518	5	5	200
16538	2	2	200
16539	10	8	200
16552	195	5	200
16605	5	5	200
16625	8	8	200
16667	2	2	200
16678	198	2	200
16715	22	20	200
16720	198	2	200
16740	198	2	200
16766	198	2	200
16777	198	2	200
16806	2	2	200
16816	9	9	200
16827	61	49	200
16846	1	1	200
16862	198	2	200
17011	11	11	200
17107	2	2	200
17121	198	2	200
17132	2	2	200
17144	2	2	200
17146	198	2	200
17212	1	1	200
17485	2	2	200
17568	200	0	200
17671	200	0	200
17767	127	57	200
17772	125	55	200
17779	127	57	200
17909	71	55	200
17950	1	1	200
17992	7	7	200
18285	6	6	200
18338	73	57	200
18443	2	2	200
18664	10	8	200
18680	200	0	200
18778	9	9	200
18893	23	21	200
19131	16	16	200
19225	2	2	200
19301	10	10	200
19415	2	2	200
19427	200	0	200
19450	200	0	200
19741	4	4	200
66	98	98	200
261	1	1	198
402	1	1	198
236	105	45	200
395	51	31	200
429	198	2	200
556	199	1	200
567	199	1	200
580	1	1	200
607	133	43	200
638	151	31	200
784	13	13	200
151	4	4	192
154	26	26	144
297	2	2	188
319	2	2	200
487	1	1	200
0	0	0	0
111	4	4	184
139	5	5	180
345	84	82	174
553	98	98	200
574	5	5	164
79	200	0	200
190	20	18	200
193	1	1	200
333	200	0	200
336	5	5	200
375	200	0	200
397	49	41	200
399	200	0	200
490	149	41	200
569	32	28	200
785	181	17	200
842	1	1	200
1128	200	0	200
1193	200	0	200
1236	200	0	200
1393	2	2	200
1594	150	42	200
1595	49	41	200
1606	4	4	200
1836	6	6	200
2242	199	1	200
2284	199	1	200
2334	9	9	200
2358	1	1	200
2552	6	6	200
2755	5	5	200
2835	130	52	200
2836	130	50	200
2846	69	51	200
2962	51	39	200
3028	50	42	200
3291	3	3	200
3322	197	3	200
3337	197	3	200
3369	1	1	200
3545	50	42	200
3693	150	42	200
3750	2	2	200
3769	4	4	200
3894	37	33	200
3982	24	16	200
4153	1	1	200
4249	3	3	200
4265	20	18	200
4280	9	9	200
4288	5	5	200
4374	1	1	200
4471	1	1	200
4669	1	1	200
4679	31	29	200
5057	31	29	200
5069	1	1	200
5289	3	3	200
5486	20	18	200
5656	12	12	200
5806	12	10	200
5818	11	11	200
5840	189	11	200
5845	11	11	200
6015	130	52	200
6086	8	8	200
6274	200	0	200
6494	1	1	200
6558	152	40	200
6621	49	41	200
6637	1	1	200
6756	150	42	200
6846	1	1	200
6968	1	1	200
7174	13	13	200
7284	200	0	200
7613	5	5	200
7626	2	2	200
7773	152	40	200
7902	13	13	200
7970	19	17	200
7984	109	59	200
8175	13	13	200
8216	150	42	200
8333	51	41	200
8437	49	41	200
8639	2	2	200
8709	31	29	200
8765	149	41	200
9000	1	1	200
9105	200	0	200
9133	200	0	200
9302	2	2	200
9374	192	8	200
9491	8	8	200
9655	20	18	200
9699	1	1	200
273	4	4	188
341	1	1	188
343	32	32	146
357	88	86	180
416	1	1	194
705	6	6	158
888	4	4	166
910	38	38	150
921	40	38	122
1011	4	4	196
1064	49	47	138
89	22	16	200
186	3	3	200
362	19	17	200
470	180	18	200
594	20	18	200
1026	200	0	200
1039	200	0	200
1049	200	0	200
1928	3	3	200
2131	1	1	200
2262	20	18	200
2721	28	20	200
2727	29	19	200
2875	39	31	200
2891	38	32	200
2911	162	32	200
2922	160	30	200
2937	162	32	200
2995	162	32	200
3224	189	7	200
3238	11	7	200
3272	2	2	200
3288	11	7	200
3290	1	1	200
3315	189	7	200
3336	12	6	200
3366	188	6	200
3368	189	7	200
3458	189	7	200
3463	10	6	200
3513	11	7	200
3515	189	7	200
3745	2	2	200
4011	1	1	200
4351	71	41	200
4674	4	4	200
4707	2	2	200
4723	195	5	200
4729	1	1	200
4779	5	5	200
5101	5	5	200
5162	17	13	200
5251	17	13	200
5340	1	1	200
5459	3	3	200
5552	3	3	200
5558	16	16	200
5753	38	32	200
5775	2	2	200
5820	1	1	200
5834	14	14	200
5891	196	4	200
5928	196	4	200
5946	35	33	200
6025	17	17	200
6117	5	5	200
6247	8	8	200
6358	5	3	200
304	1	1	198
319	90	90	186
389	2	2	198
407	1	1	198
573	1	1	198
676	9	9	154
121	10	10	200
153	2	2	200
187	25	25	200
309	51	39	200
353	2	2	200
356	10	10	200
635	107	45	200
647	107	45	200
932	1	1	200
943	96	48	200
997	1	1	200
1056	1	1	200
1123	105	45	200
1256	106	46	200
1605	199	1	200
1690	106	44	200
1850	1	1	200
1950	93	45	200
2058	7	7	200
2067	95	43	200
2085	106	46	200
2186	2	2	200
2398	3	3	200
2595	94	46	200
2657	1	1	200
3197	1	1	200
3320	1	1	200
3326	29	25	200
3469	1	1	200
3551	3	3	200
3555	5	5	200
3647	95	45	200
3727	2	2	200
3927	200	0	200
4171	3	3	200
4527	11	7	200
4555	96	48	200
4693	200	0	200
4698	10	10	200
4778	15	15	200
4850	200	0	200
4876	195	3	200
4877	5	5	200
4917	10	10	200
5032	1	1	200
5072	107	45	200
5080	106	46	200
5150	106	46	200
5154	96	44	200
5294	3	3	200
5426	1	1	200
5619	1	1	200
5830	95	47	200
5885	10	10	200
5911	10	10	200
5917	190	10	200
5954	1	1	200
5968	190	10	200
5970	190	10	200
5990	190	10	200
5998	10	10	200
6025	10	10	200
6216	96	44	200
6225	93	45	200
6231	10	10	200
6241	94	46	200
6256	106	46	200
6287	1	1	200
6291	65	37	200
6304	157	29	200
6397	153	33	200
6401	152	32	200
6459	158	30	200
6515	41	29	200
6545	35	21	200
6586	93	45	200
6592	96	44	200
6674	93	45	200
6744	13	13	200
6764	13	13	200
6781	187	13	200
6834	14	12	200
6873	186	12	200
7094	4	4	200
7159	95	45	200
7272	11	9	200
7358	190	10	200
7394	190	10	200
7506	10	10	200
7762	10	10	200
7866	94	46	200
7931	185	13	200
7970	5	5	200
8000	94	44	200
8463	95	43	200
8596	10	10	200
8622	4	4	200
8627	97	47	200
8850	93	43	200
8876	107	45	200
8905	94	46	200
8908	93	45	200
8919	94	46	200
9001	1	1	200
9027	106	46	200
9054	107	45	200
9252	3	3	200
78	74	74	170
99	8	8	164
130	6	6	160
180	9	9	162
186	13	13	162
195	39	39	158
277	13	13	172
279	7	7	164
311	2	2	194
314	10	10	166
379	75	73	164
424	16	16	152
458	16	16	146
755	15	15	146
757	65	59	152
784	37	37	142
825	59	57	148
946	27	25	148
1034	75	73	166
1132	1	1	176
1206	69	69	152
1291	75	73	168
1357	74	74	174
1377	7	7	152
1475	21	21	156
1495	100	98	200
1533	1	1	200
1541	7	7	160
1553	1	1	200
1561	72	72	170
1566	12	12	162
1599	18	18	182
1637	38	38	140
1652	1	1	198
1687	45	45	156
1725	74	72	164
1732	13	13	170
1838	2	2	186
1919	22	22	146
1939	3	3	194
2040	15	15	142
2130	71	69	156
2178	74	70	162
2194	6	6	160
2209	72	68	162
2238	1	1	198
2259	54	54	148
2276	1	1	200
2281	73	73	172
2344	53	53	142
2364	20	20	146
2393	8	8	152
2402	1	1	194
2501	9	9	168
2572	2	2	186
2819	4	4	190
2844	4	4	166
2848	18	18	154
2858	1	1	198
2939	60	56	156
2954	11	11	164
2975	7	7	170
3025	32	32	144
3098	2	2	188
3131	33	33	138
3143	72	70	168
3282	40	40	152
3330	10	10	166
3355	4	4	182
3431	14	14	126
3509	49	47	148
3577	10	10	158
3715	13	13	172
3733	11	11	146
3778	71	71	162
3799	72	72	166
3923	11	11	168
3996	71	71	172
4043	6	6	168
4164	4	4	190
4232	42	42	154
4270	1	1	194
4323	4	4	186
4333	1	1	200
4426	99	97	200
4525	1	1	192
4542	5	5	180
4587	101	99	200
4623	70	70	158
4779	10	10	160
4824	11	11	168
4916	21	21	166
4935	1	1	196
4953	1	1	198
4983	54	54	136
5011	24	24	144
5099	12	12	152
5152	12	12	174
5260	7	7	172
5278	1	1	196
5341	71	67	160
5361	3	3	162
5411	9	9	174
5500	15	15	172
22	6	6	200
51	196	4	200
140	166	22	200
184	17	15	200
187	1	1	200
207	167	23	200
217	3	3	200
262	166	22	200
18	13	13	156
31	199	1	200
51	1	1	200
248	8	8	200
257	192	8	200
308	48	36	200
367	4	4	200
588	5	5	200
639	13	13	200
824	104	44	200
870	1	1	200
876	200	0	200
924	200	0	200
1020	5	5	200
1181	50	36	200
1280	119	43	200
1306	200	0	200
1715	200	0	200
1749	200	0	200
1882	19	17	200
2112	1	1	200
2125	3	3	200
2151	47	35	200
2218	49	37	200
2242	10	10	200
2310	49	37	200
2487	1	1	200
2607	7	7	200
2607	2	2	200
2824	7	5	200
2839	193	5	200
2852	194	6	200
3093	5	5	200
3168	10	10	200
3244	4	4	200
3295	5	5	200
3358	50	36	200
3431	82	42	200
3461	118	44	200
3480	118	44	200
3495	82	44	200
3547	83	43	200
3829	16	12	200
3940	8	8	200
3992	5	5	200
4039	2	2	200
4205	1	1	200
4431	68	40	200
4493	199	1	200
4512	199	1	200
4712	10	10	200
4736	3	3	200
4747	1	1	200
4792	197	3	200
4805	4	4	200
4902	3	3	200
4943	197	3	200
4947	83	43	200
5074	14	14	200
5306	29	25	200
5409	200	0	200
5448	118	44	200
5461	1	1	200
5568	2	2	200
5853	4	4	200
5981	197	3	200
5986	117	41	200
6012	1	1	200
6020	197	3	200
6050	197	3	200
6154	49	37	200
6160	170	24	200
6242	4	4	200
6308	1	1	200
6326	82	44	200
6332	84	42	200
6336	10	10	200
6519	2	2	200
6777	48	36	200
6876	68	40	200
6936	14	14	200
6975	11	9	200
6988	14	14	200
7190	3	3	200
7429	3	3	200
7668	1	1	200
7781	1	1	200
7943	49	37	200
7958	1	1	200
7969	11	9	200
7973	199	1	200
7988	27	23	200
7990	1	1	200
8037	1	1	200
8253	4	4	200
8330	2	2	200
8711	4	4	200
8741	9	9	200
8775	8	6	200
8794	3	3	200
8799	118	44	200
8805	13	13	200
8814	118	44	200
8859	117	43	200
8861	1	1	200
8910	81	43	200
8992	4	4	200
9106	3	3	200
9117	4	4	200
9121	4	2	200
9345	2	2	200
9367	200	0	200
9530	4	4	200
9553	11	9	200
9696	200	0	200
9835	199	1	200
9872	199	1	200
9898	1	1	200
9936	200	0	200
10085	200	0	200
10113	8	8	200
10139	200	0	200
10173	48	36	200
10186	200	0	200
10281	118	44	200
10336	1	1	200
10366	199	1	200
10390	199	1	200
10392	200	0	200
10541	6	6	200
10545	21	17	200
10661	3	3	200
10674	199	1	200
10769	1	1	200
11010	200	0	200
11220	200	0	200
11233	1	1	200
11319	9	9	200
11336	9	9	200
11371	15	13	200
11375	120	42	200
37	38	38	144
217	12	12	158
343	5	5	168
352	1	1	196
499	4	4	166
572	12	12	152
694	4	4	186
2	16	16	200
116	15	15	200
116	138	44	200
149	15	15	200
174	8	8	200
55	112	44	200
272	149	37	200
302	15	13	200
488	38	26	200
558	200	0	200
640	1	1	200
755	10	10	200
853	23	19	200
917	7	7	200
963	150	38	200
1149	2	2	200
1208	15	13	200
1322	2	2	200
1346	1	1	200
1391	36	26	200
1450	14	12	200
1567	15	13	200
1577	3	3	200
1624	185	13	200
1664	15	13	200
1696	10	10	200
1727	15	13	200
1859	150	38	200
1863	7	5	200
1876	33	25	200
1894	2	2	200
1909	7	7	200
2145	10	10	200
2232	3	3	200
2298	114	42	200
2696	185	13	200
2737	5	5	200
2756	185	13	200
2828	200	0	200
2916	37	27	200
2989	1	1	200
9	4	4	186
14	2	2	194
29	2	2	194
61	65	65	160
90	1	1	194
126	23	23	148
599	102	98	200
657	71	71	174
177	33	27	200
546	64	46	200
619	33	27	200
967	2	2	200
1087	2	2	200
1139	200	0	200
1166	23	19	200
1233	200	0	200
1289	1	1	200
1496	22	18	200
1526	65	45	200
1802	200	0	200
1934	22	18	200
1942	161	27	200
1976	161	27	200
2036	38	28	200
2037	38	28	200
2050	10	10	200
2127	2	2	200
2344	192	8	200
2375	8	8	200
2377	8	8	200
2382	193	7	200
2441	9	9	200
2595	55	45	200
2611	36	26	200
2654	19	15	200
2755	20	16	200
2822	34	28	200
2948	200	0	200
2961	42	34	200
3021	64	46	200
3506	4	4	200
3526	64	46	200
3656	105	49	200
3761	199	1	200
3799	199	1	200
3830	1	1	200
3844	20	18	200
3866	64	46	200
3907	2	2	200
3998	12	12	200
4144	34	28	200
4145	167	27	200
4278	1	1	200
4391	2	2	200
4410	200	0	200
4424	64	46	200
4531	1	1	200
4583	103	51	200
4679	103	51	200
4794	2	2	200
4836	3	3	200
4878	34	28	200
5105	200	0	200
5117	200	0	200
5152	166	28	200
5178	166	28	200
5185	168	26	200
5387	22	18	200
5402	4	4	200
5435	3	3	200
5885	7	7	200
5987	2	2	200
6074	34	28	200
6096	111	49	200
6120	102	52	200
6475	1	1	200
6477	199	1	200
6532	199	1	200
6640	3	3	200
6739	1	1	200
6926	102	50	200
6951	102	52	200
7013	200	0	200
7181	6	4	200
7327	63	45	200
7447	2	2	200
7670	158	34	200
7677	157	33	200
7735	157	33	200
7761	23	17	200
7876	21	15	200
7896	81	43	200
7903	1	1	200
8137	200	0	200
8156	200	0	200
8232	3	3	200
9123	20	18	200
9168	5	5	200
9275	199	1	200
9297	1	1	200
9435	3	3	200
9481	9	7	200
9788	12	12	200
9813	34	26	200
9882	64	46	200
10011	36	26	200
10123	4	4	200
10158	166	28	200
10204	200	0	200
10215	1	1	200
14	198	2	200
36	1	1	200
51	2	2	200
110	31	25	200
133	1	1	200
217	168	26	200
451	11	11	200
677	31	25	200
775	1	1	200
911	44	32	200
919	1	1	200
1060	15	15	200
1062	1	1	200
1175	1	1	200
1199	33	25	200
1219	168	26	200
1282	32	26	200
1422	1	1	200
1429	49	39	200
1476	168	26	200
1488	129	45	200
1493	1	1	200
1503	39	31	200
1714	1	1	200
1755	7	5	200
1865	16	14	200
1962	1	1	200
47	30	30	158
65	4	4	190
101	26	24	146
215	1	1	198
321	5	5	182
345	101	99	200
133	6	6	200
543	195	5	200
543	5	5	200
606	5	5	200
729	195	5	200
1402	4	4	200
1452	23	19	200
1528	195	5	200
1573	8	8	200
1708	8	8	200
1805	22	18	200
1830	200	0	200
2030	1	1	200
2100	10	10	200
2136	7	7	200
2181	5	5	200
2278	31	25	200
2313	5	5	200
2484	5	5	200
2489	41	29	200
2534	160	30	200
2577	39	29	200
2579	39	29	200
2586	155	33	200
2701	5	5	200
2732	40	30	200
2764	44	34	200
2858	5	5	200
2885	5	5	200
2930	9	9	200
2953	5	5	200
2957	195	5	200
2998	7	7	200
3024	5	5	200
3281	5	5	200
3303	195	5	200
3313	5	5	200
3373	195	5	200
3382	195	5	200
3434	6	4	200
3501	6	4	200
3619	5	5	200
3735	1	1	200
3740	2	2	200
3765	195	5	200
3859	13	11	200
3915	30	26	200
4091	40	30	200
4136	12	12	200
4213	12	12	200
4257	195	5	200
4266	5	5	200
4273	7	7	200
4291	5	5	200
4442	10	10	200
4446	155	33	200
4514	5	5	200
4564	185	15	200
4825	5	5	200
4831	4	4	200
4894	6	4	200
4982	10	8	200
5032	8	6	200
5054	47	37	200
5103	7	7	200
5110	13	13	200
5146	193	7	200
5277	10	10	200
5355	4	4	200
5419	11	11	200
5477	190	10	200
5515	5	5	200
5520	195	5	200
5536	10	10	200
5554	5	5	200
5565	200	0	200
5572	200	0	200
5592	2	2	200
5646	8	6	200
5650	23	19	200
5659	5	5	200
5686	2	2	200
5778	5	5	200
5819	7	7	200
5826	5	5	200
5837	195	5	200
5869	155	33	200
5893	5	5	200
5898	7	7	200
5931	5	5	200
5967	195	5	200
5997	196	4	200
6148	156	32	200
6366	8	8	200
